OrderID,Date,CustomerID,ProdNumber,Quantity
1,01-Jan-2020,1866,EB514,2
2,01-Jan-2020,1567,RS706,3
3,01-Jan-2020,2064,TV804,6
4,01-Jan-2020,287,DK203,1
5,01-Jan-2020,422,EB517,5
6,01-Jan-2020,954,EB519,5
7,02-Jan-2020,726,RK604,2
8,02-Jan-2020,1740,TV810,1
9,02-Jan-2020,1652,TV804,2
10,02-Jan-2020,1431,DS304,2
11,02-Jan-2020,270,RK604,2
12,02-Jan-2020,815,DK201,5
13,02-Jan-2020,157,EB508,3
14,02-Jan-2020,179,BP107,2
15,02-Jan-2020,832,RK605,2
16,03-Jan-2020,1465,DK205,3
17,03-Jan-2020,678,RS702,2
18,03-Jan-2020,1644,DS301,4
19,03-Jan-2020,806,TV804,3
20,04-Jan-2020,997,DK209,2
21,04-Jan-2020,1272,TV804,3
22,04-Jan-2020,832,DK205,4
23,04-Jan-2020,1313,DS302,3
24,04-Jan-2020,638,RS702,5
25,05-Jan-2020,292,EB516,5
26,05-Jan-2020,1865,TV802,2
27,05-Jan-2020,1766,EB519,5
28,05-Jan-2020,281,EB517,4
29,06-Jan-2020,889,EB511,5
30,06-Jan-2020,435,EB518,6
31,06-Jan-2020,811,TV809,1
32,06-Jan-2020,148,DK203,3
33,06-Jan-2020,157,RS706,3
34,06-Jan-2020,841,RK606,4
35,07-Jan-2020,814,EB504,5
36,07-Jan-2020,1930,DS306,5
37,07-Jan-2020,426,RK605,4
38,07-Jan-2020,1336,TV804,2
39,07-Jan-2020,1708,EB501,1
40,07-Jan-2020,43,DS306,4
41,07-Jan-2020,378,EB502,6
42,07-Jan-2020,856,TV802,3
43,07-Jan-2020,1613,BP105,5
44,08-Jan-2020,587,RK602,1
45,08-Jan-2020,794,TV809,4
46,08-Jan-2020,2104,EB509,6
47,08-Jan-2020,1166,RK604,4
48,09-Jan-2020,1083,RS707,6
49,09-Jan-2020,371,EB513,5
50,09-Jan-2020,11,EB504,1
51,09-Jan-2020,1551,EB518,3
52,09-Jan-2020,1542,RS707,5
53,10-Jan-2020,2001,RS705,2
54,10-Jan-2020,647,DS304,2
55,10-Jan-2020,288,TV812,2
56,11-Jan-2020,934,DK208,4
57,12-Jan-2020,1653,EB509,6
58,12-Jan-2020,46,EB514,4
59,12-Jan-2020,1340,BP107,6
60,12-Jan-2020,366,RK606,3
61,13-Jan-2020,1798,EB513,4
62,13-Jan-2020,133,EB508,4
63,13-Jan-2020,1101,EB514,1
64,13-Jan-2020,894,TV809,5
65,14-Jan-2020,628,TV805,5
66,14-Jan-2020,1878,BP110,3
67,14-Jan-2020,1123,EB505,2
68,14-Jan-2020,1214,EB518,4
69,14-Jan-2020,1162,DS307,6
70,14-Jan-2020,1944,BP108,3
71,15-Jan-2020,185,BP110,5
72,15-Jan-2020,1202,EB505,5
73,15-Jan-2020,700,EB514,3
74,16-Jan-2020,1773,DK202,2
75,16-Jan-2020,96,DK205,5
76,17-Jan-2020,1264,EB503,4
77,17-Jan-2020,606,RK605,3
78,17-Jan-2020,1285,EB517,6
79,18-Jan-2020,897,DK209,3
80,18-Jan-2020,522,BP109,2
81,18-Jan-2020,653,EB521,3
82,18-Jan-2020,1845,TV804,2
83,18-Jan-2020,1052,EB504,6
84,19-Jan-2020,1751,DK205,3
85,19-Jan-2020,772,RK603,5
86,19-Jan-2020,1626,DK207,5
87,20-Jan-2020,99,EB518,1
88,20-Jan-2020,209,EB521,3
89,20-Jan-2020,459,EB511,4
90,21-Jan-2020,430,EB504,2
91,21-Jan-2020,1614,EB502,2
92,21-Jan-2020,681,RK602,4
93,21-Jan-2020,1634,RS707,4
94,21-Jan-2020,1792,EB517,2
95,21-Jan-2020,865,RS707,5
96,21-Jan-2020,932,DS307,4
97,21-Jan-2020,719,DS301,3
98,21-Jan-2020,1830,DS303,5
99,21-Jan-2020,1524,EB518,3
100,21-Jan-2020,847,RS704,6
101,21-Jan-2020,1002,RK606,2
102,22-Jan-2020,1326,DS306,3
103,22-Jan-2020,1833,DK202,5
104,22-Jan-2020,1302,DS302,1
105,22-Jan-2020,1103,EB521,3
106,22-Jan-2020,1830,DS305,4
107,23-Jan-2020,2035,TV813,5
108,23-Jan-2020,260,TV803,2
109,23-Jan-2020,1824,EB512,3
110,23-Jan-2020,1737,RS703,5
111,23-Jan-2020,160,DS305,5
112,23-Jan-2020,551,EB504,4
113,23-Jan-2020,1589,BP101,4
114,23-Jan-2020,275,DK206,4
115,23-Jan-2020,1523,TV811,4
116,24-Jan-2020,20,TV808,3
117,24-Jan-2020,908,DS305,2
118,24-Jan-2020,2031,DS301,3
119,24-Jan-2020,1436,BP109,3
120,24-Jan-2020,1599,EB504,4
121,24-Jan-2020,303,RK607,5
122,24-Jan-2020,5,TV804,1
123,25-Jan-2020,1078,DS306,5
124,25-Jan-2020,1646,BP107,5
125,25-Jan-2020,831,TV806,3
126,25-Jan-2020,1111,TV804,4
127,26-Jan-2020,1886,DK208,4
128,26-Jan-2020,2013,DS305,5
129,26-Jan-2020,1848,EB507,3
130,27-Jan-2020,1533,EB509,1
131,27-Jan-2020,1591,RS705,3
132,27-Jan-2020,345,EB503,5
133,27-Jan-2020,256,BP102,1
134,27-Jan-2020,1031,EB509,5
135,27-Jan-2020,216,EB513,4
136,27-Jan-2020,1839,EB520,5
137,28-Jan-2020,1802,TV805,3
138,28-Jan-2020,1306,EB502,4
139,28-Jan-2020,1942,EB509,3
140,29-Jan-2020,1842,BP105,4
141,29-Jan-2020,1344,EB504,4
142,29-Jan-2020,1161,TV802,5
143,30-Jan-2020,1227,EB514,4
144,30-Jan-2020,1157,RS703,5
145,30-Jan-2020,1572,DK206,4
146,30-Jan-2020,1696,BP107,3
147,30-Jan-2020,1741,RS703,3
148,31-Jan-2020,451,TV803,3
149,31-Jan-2020,961,DK208,4
150,31-Jan-2020,568,DS303,2
151,31-Jan-2020,2031,TV801,3
152,31-Jan-2020,1136,EB502,4
153,31-Jan-2020,1983,RK602,2
154,01-Feb-2020,1119,TV802,1
155,01-Feb-2020,685,TV808,5
156,01-Feb-2020,1505,DK209,3
157,01-Feb-2020,535,EB520,4
158,02-Feb-2020,1648,BP106,5
159,02-Feb-2020,645,BP106,5
160,02-Feb-2020,1036,BP110,4
161,02-Feb-2020,1628,BP108,2
162,02-Feb-2020,1996,EB511,5
163,02-Feb-2020,1585,RS703,2
164,03-Feb-2020,868,EB514,3
165,03-Feb-2020,1991,EB501,3
166,03-Feb-2020,604,DK202,2
167,03-Feb-2020,1070,RS707,5
168,04-Feb-2020,1825,RS703,4
169,04-Feb-2020,481,RK603,6
170,04-Feb-2020,2021,EB508,5
171,04-Feb-2020,500,BP109,3
172,04-Feb-2020,1320,TV812,3
173,05-Feb-2020,707,EB512,3
174,05-Feb-2020,1296,DK204,2
175,05-Feb-2020,496,RK605,5
176,05-Feb-2020,1547,DK202,3
177,05-Feb-2020,1508,TV813,2
178,06-Feb-2020,1267,DK208,3
179,06-Feb-2020,204,EB505,3
180,06-Feb-2020,1018,BP104,4
181,06-Feb-2020,770,DK209,3
182,06-Feb-2020,1081,BP110,3
183,07-Feb-2020,661,EB503,4
184,07-Feb-2020,302,EB504,4
185,07-Feb-2020,1589,BP102,4
186,07-Feb-2020,1084,EB505,2
187,07-Feb-2020,840,EB503,1
188,07-Feb-2020,510,DS307,5
189,08-Feb-2020,454,TV811,5
190,08-Feb-2020,1068,EB505,6
191,08-Feb-2020,1634,DK207,4
192,08-Feb-2020,1023,TV811,2
193,08-Feb-2020,958,DS304,3
194,08-Feb-2020,202,RS706,4
195,09-Feb-2020,1634,EB513,3
196,09-Feb-2020,1761,BP105,3
197,09-Feb-2020,934,RS704,4
198,09-Feb-2020,1033,BP105,3
199,09-Feb-2020,1905,EB509,2
200,09-Feb-2020,922,DK202,6
201,09-Feb-2020,456,RK602,3
202,10-Feb-2020,1614,DK207,1
203,10-Feb-2020,312,TV802,2
204,10-Feb-2020,203,EB513,3
205,10-Feb-2020,1289,RK602,3
206,11-Feb-2020,1894,DK207,5
207,11-Feb-2020,1951,EB516,4
208,11-Feb-2020,1290,DS302,3
209,11-Feb-2020,802,EB512,3
210,11-Feb-2020,1399,RS705,2
211,12-Feb-2020,1119,DS301,4
212,12-Feb-2020,2059,BP102,6
213,12-Feb-2020,1584,EB514,5
214,12-Feb-2020,680,DS305,1
215,12-Feb-2020,156,TV808,5
216,12-Feb-2020,1549,RS704,6
217,12-Feb-2020,1797,TV809,5
218,12-Feb-2020,906,DK203,4
219,13-Feb-2020,1233,DS306,2
220,13-Feb-2020,1043,RS704,5
221,13-Feb-2020,1161,TV807,5
222,13-Feb-2020,1002,EB519,5
223,13-Feb-2020,848,RK605,4
224,14-Feb-2020,1905,TV804,4
225,14-Feb-2020,240,DK207,2
226,14-Feb-2020,150,RS703,3
227,15-Feb-2020,2040,BP105,3
228,15-Feb-2020,1414,BP105,6
229,15-Feb-2020,560,DK208,2
230,15-Feb-2020,1170,BP106,2
231,15-Feb-2020,866,EB513,5
232,16-Feb-2020,1198,EB514,2
233,16-Feb-2020,962,DS303,1
234,16-Feb-2020,1114,EB504,4
235,16-Feb-2020,1123,TV813,3
236,16-Feb-2020,1457,RS704,3
237,16-Feb-2020,132,DS302,5
238,16-Feb-2020,1946,DS301,3
239,16-Feb-2020,1879,EB511,3
240,17-Feb-2020,422,EB511,4
241,17-Feb-2020,1861,TV811,3
242,18-Feb-2020,633,EB502,4
243,18-Feb-2020,1932,DK207,6
244,18-Feb-2020,1447,BP102,4
245,18-Feb-2020,973,DK208,4
246,18-Feb-2020,2082,DK201,5
247,18-Feb-2020,735,TV812,3
248,18-Feb-2020,1434,DS301,5
249,19-Feb-2020,724,EB516,2
250,19-Feb-2020,867,RS705,6
251,20-Feb-2020,1909,BP110,5
252,20-Feb-2020,1928,EB506,4
253,20-Feb-2020,126,DK205,5
254,20-Feb-2020,678,DK204,4
255,21-Feb-2020,1950,EB519,4
256,21-Feb-2020,1946,RS704,5
257,21-Feb-2020,1480,DK207,2
258,21-Feb-2020,1647,BP107,3
259,21-Feb-2020,1578,BP105,3
260,21-Feb-2020,1226,DK209,5
261,21-Feb-2020,1204,TV811,5
